GOOG,Alphabet Inc.,660.0,670.0 
IBM,International Business Machines Corporation,142.94,143.25 
TSLA,Tesla Motors Inc.,223.68,231.0 
WFC,Wells Fargo & Company,51.75,53.29 
AAPL,Apple Inc.,111.25,111.73 
FB,Facebook Inc.,98.3,98.73 
MSFT,Microsoft Corporation,47.05,47.62 
LNKD,LinkedIn Corporation,192.97,201.83 
TWTR,Twitter Inc.,30.58,31.3 
PG,The Procter & Gamble Company,74.15,76.17 
BMY,Bristol-Myers Squibb Company,63.74,65.93 
DD,E. I. du Pont de Nemours and Company,56.06,57.71 
BABA,Alibaba Group Holding Limited,72.28,72.88 
INTC,Intel Corporation,33.5,33.59 
PYPL,PayPal Holdings Inc.,34.58,35.15 
LULU,Lululemon Athletica Inc.,50.25,54.55 
CLX,The Clorox Company,116.65,121.78 
MRK,Merck & Co. Inc.,50.6,52.18 
SYMC,Symantec Corporation,19.0,23.25 
UPS,United Parcel Service Inc.,102.43,104.94 
CSCO,Cisco Systems Inc.,27.94,28.39 
EBAY,eBay Inc.,24.18,24.9
